1,Blue,Salvator Mundi,Leonardo da Vinci,450300000
2,Green,Interchange,Willem de Kooning,300000000
3,Red,The Card Players,Paul Cezanne,250000000
4,Red,When Will You Marry?,Paul Gauguin,210000000
5,Green,Number 17A,Jackson Pollock,200000000
6,Red,Wasserschlangen II,Gustav Klimt,183800000
7,Blue,"No. 6 (Violet Green and Red)",Mark Rothko,186000000
8,Green,Pendant portraits of Maerten Soolmans and Oopjen Coppit,Rembrandt,180000000
9,Red,"Les Femmes d'Alger (""Version O"")",Pablo Picasso,179400000
10,Blue,Nu couch,Amedeo Modigliani,170400000
11,Green,"No. 5 1948",Jackson Pollock,140000000
12,Red,Woman III,Willem de Kooning,137500000
13,Blue,Masterpiece,Roy Lichtenstein,165000000
14,Green,Portrait of Adele Bloch-Bauer I,Gustav Klimt,135000000
15,Red,Le Reve,Pablo Picasso,155000000
16,Blue,Nu couch (sur le  gauche),Amedeo Modigliani,157200000
17,Red,Portrait of Dr. Gachet,Vincent van Gogh,82500000
18,Red,Adele Bloch-Bauer II,Gustav Klimt,150000000
19,Blue,Three Studies of Lucian Freud,Francis Bacon,142400000
20,Green,Bal du moulin de la Galette,Pierre-Auguste Renoir,78100000
21,Red,Garon  la pipe,Pablo Picasso,104200000
22,Blue,The Scream,Edvard Munch,119900000
23,Red,Otahi,Paul Gauguin,120000000
24,Red,Reclining Nude With Blue Cushion,Amedeo Modigliani,118000000
25,Green,Flag,Jasper Johns,110000000
26,Green,"Nude, Green Leaves and Bust",Pablo Picasso,106500000
27,Red,Portrait of Joseph Roulin,Vincent van Gogh,58000000
28,Red,Irises,Vincent van Gogh,53900000
29,Green,Dora Maar au Chat,Pablo Picasso,95200000
30,Red,Young Girl with a Flower Basket,Pablo Picasso,115000000
